what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1267675533955
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.monitor.ui",1267675533957
os,sysinfo,,,"macosx",1267675533962
arch,sysinfo,,,"x86_64",1267675533962
ws,sysinfo,,,"cocoa",1267675533962
locale,sysinfo,,,"en_US",1267675533962
processors,sysinfo,,,"2",1267675533962
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1267675533962
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1267675533962
java.specification.name,sysinfo,,,"Java Platform API Specification",1267675533962
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267675533962
java.specification.version,sysinfo,,,"1.6",1267675533962
java.vendor,sysinfo,,,"Apple Inc.",1267675533962
java.version,sysinfo,,,"1.6.0_17",1267675533962
java.vm.info,sysinfo,,,"mixed mode",1267675533962
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1267675533962
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1267675533962
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267675533962
java.vm.specification.version,sysinfo,,,"1.0",1267675533962
java.vm.vendor,sysinfo,,,"Apple Inc.",1267675533962
java.vm.version,sysinfo,,,"14.3-b01-101",1267675533962
started,bundle,org.eclipse.mylyn.commons.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.commons.ui",1267675534069
started,bundle,org.eclipse.mylyn.context.core,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.core",1267675534075
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.core",1267675534175
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.ui",1267675534215
